"Statistic","Year","Local Government District","Pay Rate","Working Pattern","All Persons","Females","Males"
"Mean Wage",2020,"Causeway Coast and Glens","Weekly","All",423.8,395.8,458.7
"Mean Wage",2020,"Causeway Coast and Glens","Weekly","Full-Time",511.4,527,499.3
"Mean Wage",2020,"Causeway Coast and Glens","Weekly","Part-Time",238.3,246.8,202
"Mean Wage",2020,"Derry City and Strabane","Hourly (excluding overtime)","All",14.36,14.3,14.4
"Mean Wage",2020,"Derry City and Strabane","Hourly (excluding overtime)","Full-Time",15.06,15.39,14.82
"Mean Wage",2020,"Derry City and Strabane","Hourly (excluding overtime)","Part-Time",11.82,11.75,11.96
"Mean Wage",2020,"Derry City and Strabane","Weekly","All",439.3,386.1,498.7
"Mean Wage",2020,"Derry City and Strabane","Weekly","Full-Time",577.1,561.2,589.6
"Mean Wage",2020,"Derry City and Strabane","Weekly","Part-Time",213.3,197.9,244.7
"Mean Wage",2020,"Fermanagh and Omagh","Hourly (excluding overtime)","All",13.77,13.76,13.77
"Mean Wage",2020,"Fermanagh and Omagh","Hourly (excluding overtime)","Full-Time",14.35,14.83,14.05
"Mean Wage",2020,"Fermanagh and Omagh","Hourly (excluding overtime)","Part-Time",11.75,12.05,10.22
"Mean Wage",2020,"Fermanagh and Omagh","Weekly","All",449.7,390.4,521.2
"Mean Wage",2020,"Fermanagh and Omagh","Weekly","Full-Time",569.7,535.8,593.3
"Mean Wage",2020,"Fermanagh and Omagh","Weekly","Part-Time",237.2,256.6,165.1
"Mean Wage",2020,"Lisburn and Castlereagh","Hourly (excluding overtime)","All",13.78,14.2,13.4
"Mean Wage",2020,"Lisburn and Castlereagh","Hourly (excluding overtime)","Full-Time",14.27,15.13,13.65
"Mean Wage",2020,"Lisburn and Castlereagh","Hourly (excluding overtime)","Part-Time",11.57,11.73,11.2
"Mean Wage",2020,"Lisburn and Castlereagh","Weekly","All",452.3,417.4,490.5
"Mean Wage",2020,"Lisburn and Castlereagh","Weekly","Full-Time",563.4,576.7,553.4
"Mean Wage",2020,"Lisburn and Castlereagh","Weekly","Part-Time",216,214,220.9
"Mean Wage",2020,"Mid and East Antrim","Hourly (excluding overtime)","All",13.72,12.9,14.38
"Mean Wage",2020,"Mid and East Antrim","Hourly (excluding overtime)","Full-Time",14.22,13.66,14.56
"Mean Wage",2020,"Mid and East Antrim","Hourly (excluding overtime)","Part-Time",11.16,10.99,11.78
"Mean Wage",2020,"Mid and East Antrim","Weekly","All",456,380,529.5
"Mean Wage",2020,"Mid and East Antrim","Weekly","Full-Time",566.6,510.3,603.5
"Mean Wage",2020,"Mid and East Antrim","Weekly","Part-Time",198.3,211.6,165
"Mean Wage",2020,"Mid Ulster","Hourly (excluding overtime)","All",12.6,12.85,12.48
"Mean Wage",2020,"Mid Ulster","Hourly (excluding overtime)","Full-Time",13.1,13.82,12.8
"Mean Wage",2020,"Mid Ulster","Hourly (excluding overtime)","Part-Time",9.83,10.32,8.99
"Mean Wage",2020,"Mid Ulster","Weekly","All",424.1,374.5,456.1
"Mean Wage",2020,"Mid Ulster","Weekly","Full-Time",521.8,520,522.6
"Mean Wage",2020,"Mid Ulster","Weekly","Part-Time",177.9,188.7,161.2
"Mean Wage",2020,"Newry, Mourne and Down","Hourly (excluding overtime)","All",13.78,13.54,14.01
"Mean Wage",2020,"Newry, Mourne and Down","Hourly (excluding overtime)","Full-Time",14.21,14.05,14.32
"Mean Wage",2020,"Newry, Mourne and Down","Hourly (excluding overtime)","Part-Time",11.85,12.22,10.75
"Mean Wage",2020,"Newry, Mourne and Down","Weekly","All",459.7,410.8,514.3
"Mean Wage",2020,"Newry, Mourne and Down","Weekly","Full-Time",564.6,536.5,586.7
"Mean Wage",2020,"Newry, Mourne and Down","Weekly","Part-Time",226.9,240.7,191.3
"Mean Wage",2020,"Ards and North Down","Hourly (excluding overtime)","All",13.18,13,13.36
"Mean Wage",2020,"Ards and North Down","Hourly (excluding overtime)","Full-Time",14.02,14.1,13.97
"Mean Wage",2020,"Ards and North Down","Hourly (excluding overtime)","Part-Time",10.4,10.66,9.83
"Mean Wage",2020,"Ards and North Down","Weekly","All",420.1,374,477.5
"Mean Wage",2020,"Ards and North Down","Weekly","Full-Time",554.2,532.3,573.2
"Mean Wage",2020,"Ards and North Down","Weekly","Part-Time",202.5,203.4,200.4
"Mean Wage",2021,"Northern Ireland","Hourly (excluding overtime)","All",15.99,15.48,16.43
"Mean Wage",2021,"Northern Ireland","Hourly (excluding overtime)","Full-Time",16.62,16.4,16.76
"Mean Wage",2021,"Northern Ireland","Hourly (excluding overtime)","Part-Time",12.82,12.96,12.37
"Mean Wage",2021,"Northern Ireland","Weekly","All",532.2,461.6,605.6
"Mean Wage",2021,"Northern Ireland","Weekly","Full-Time",650.9,615.7,676.1
"Mean Wage",2021,"Northern Ireland","Weekly","Part-Time",240.4,248.1,218.4
"Mean Wage",2021,"Antrim and Newtownabbey","Hourly (excluding overtime)","All",15.93,16.32,15.58
"Mean Wage",2021,"Antrim and Newtownabbey","Hourly (excluding overtime)","Full-Time",16.56,17.64,15.79
"Mean Wage",2021,"Antrim and Newtownabbey","Hourly (excluding overtime)","Part-Time",12.77,12.78,NA
"Mean Wage",2021,"Antrim and Newtownabbey","Weekly","All",525.4,473.6,583
"Mean Wage",2021,"Antrim and Newtownabbey","Weekly","Full-Time",646.3,647.7,645.2
"Mean Wage",2021,"Antrim and Newtownabbey","Weekly","Part-Time",236.3,240.3,NA
"Mean Wage",2021,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","All",16.03,15.91,16.14
"Mean Wage",2021,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Full-Time",16.56,16.87,16.33
"Mean Wage",2021,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Part-Time",13.8,13.62,NA
"Mean Wage",2021,"Armagh City, Banbridge and Craigavon","Weekly","All",522.8,471.6,581.1
"Mean Wage",2021,"Armagh City, Banbridge and Craigavon","Weekly","Full-Time",647.4,636.2,656.1
"Mean Wage",2021,"Armagh City, Banbridge and Craigavon","Weekly","Part-Time",266.1,267.7,NA
"Mean Wage",2021,"Belfast","Hourly (excluding overtime)","All",17.63,16.58,18.53
"Mean Wage",2021,"Belfast","Hourly (excluding overtime)","Full-Time",18.19,17.21,18.89
"Mean Wage",2021,"Belfast","Hourly (excluding overtime)","Part-Time",13.85,14.2,12.78
"Mean Wage",2021,"Belfast","Weekly","All",601.2,525.4,675.5
"Mean Wage",2021,"Belfast","Weekly","Full-Time",697.6,649.2,733.2
"Mean Wage",2021,"Belfast","Weekly","Part-Time",270.2,281.7,237.3
"Mean Wage",2021,"Causeway Coast and Glens","Hourly (excluding overtime)","All",13.62,13.66,13.58
"Mean Wage",2021,"Causeway Coast and Glens","Hourly (excluding overtime)","Full-Time",14.2,14.88,13.73
"Mean Wage",2021,"Causeway Coast and Glens","Hourly (excluding overtime)","Part-Time",11.32,11.17,11.9
"Mean Wage",2021,"Causeway Coast and Glens","Weekly","All",429.9,372.9,501.8
"Mean Wage",2021,"Causeway Coast and Glens","Weekly","Full-Time",551.8,544.3,557.5
"Mean Wage",2021,"Causeway Coast and Glens","Weekly","Part-Time",205.7,201.3,222.3
"Mean Wage",2021,"Derry City and Strabane","Hourly (excluding overtime)","All",15.01,15.23,14.8
"Mean Wage",2021,"Derry City and Strabane","Hourly (excluding overtime)","Full-Time",15.72,16.61,15.06
"Mean Wage",2021,"Derry City and Strabane","Hourly (excluding overtime)","Part-Time",12.09,11.89,12.61
"Mean Wage",2021,"Derry City and Strabane","Weekly","All",467.9,429.4,512.5
"Mean Wage",2021,"Derry City and Strabane","Weekly","Full-Time",594.4,606.8,584.5
"Mean Wage",2021,"Derry City and Strabane","Weekly","Part-Time",219.7,215.5,230.7
"Mean Wage",2021,"Fermanagh and Omagh","Hourly (excluding overtime)","All",14.97,14.26,15.67
"Mean Wage",2021,"Fermanagh and Omagh","Hourly (excluding overtime)","Full-Time",15.56,14.67,16.19
"Mean Wage",2021,"Fermanagh and Omagh","Hourly (excluding overtime)","Part-Time",12.69,13.41,9.89
"Mean Wage",2021,"Fermanagh and Omagh","Weekly","All",473.3,398.9,564.7
"Mean Wage",2021,"Fermanagh and Omagh","Weekly","Full-Time",616.4,548.3,669.2
"Mean Wage",2021,"Fermanagh and Omagh","Weekly","Part-Time",221.3,246.4,144.9
"Mean Wage",2021,"Lisburn and Castlereagh","Hourly (excluding overtime)","All",16.21,15.72,16.63
"Mean Wage",2021,"Lisburn and Castlereagh","Hourly (excluding overtime)","Full-Time",16.71,16.32,16.96
"Mean Wage",2021,"Lisburn and Castlereagh","Hourly (excluding overtime)","Part-Time",13.62,14.17,11.51
"Mean Wage",2021,"Lisburn and Castlereagh","Weekly","All",547.4,466.5,630.5
"Mean Wage",2021,"Lisburn and Castlereagh","Weekly","Full-Time",661,613.1,693.1
"Mean Wage",2021,"Lisburn and Castlereagh","Weekly","Part-Time",257.8,273,205.4
"Mean Wage",2021,"Mid and East Antrim","Hourly (excluding overtime)","All",14.49,13.53,15.38
"Mean Wage",2021,"Mid and East Antrim","Hourly (excluding overtime)","Full-Time",15.16,14.58,15.55
"Mean Wage",2021,"Mid and East Antrim","Hourly (excluding overtime)","Part-Time",12.03,11.59,13.67
"Mean Wage",2021,"Mid and East Antrim","Weekly","All",463.8,380.6,560.4
"Mean Wage",2021,"Mid and East Antrim","Weekly","Full-Time",602.4,540.7,646.2
"Mean Wage",2021,"Mid and East Antrim","Weekly","Part-Time",222.2,225.7,211.7
"Mean Wage",2021,"Mid Ulster","Hourly (excluding overtime)","All",14.12,13.8,14.29
"Mean Wage",2021,"Mid Ulster","Hourly (excluding overtime)","Full-Time",14.56,14.66,14.52
"Mean Wage",2021,"Mid Ulster","Hourly (excluding overtime)","Part-Time",11.04,11.39,10.13
"Mean Wage",2021,"Mid Ulster","Weekly","All",496.2,408.3,553
"Mean Wage",2021,"Mid Ulster","Weekly","Full-Time",595.6,546.9,616.9
"Mean Wage",2021,"Mid Ulster","Weekly","Part-Time",192.6,213.1,152.6
"Mean Wage",2021,"Newry, Mourne and Down","Hourly (excluding overtime)","All",14.65,14.37,14.93
"Mean Wage",2021,"Newry, Mourne and Down","Hourly (excluding overtime)","Full-Time",15.21,15.1,15.3
"Mean Wage",2021,"Newry, Mourne and Down","Hourly (excluding overtime)","Part-Time",12.3,12.37,12.12
"Mean Wage",2021,"Newry, Mourne and Down","Weekly","All",482,435.6,536.3
"Mean Wage",2021,"Newry, Mourne and Down","Weekly","Full-Time",599.2,571,624.2
"Mean Wage",2021,"Newry, Mourne and Down","Weekly","Part-Time",237.8,241.9,228.8
"Mean Wage",2021,"Ards and North Down","Hourly (excluding overtime)","All",14.25,14.06,14.44
"Mean Wage",2021,"Ards and North Down","Hourly (excluding overtime)","Full-Time",15.06,15.32,14.86
"Mean Wage",2021,"Ards and North Down","Hourly (excluding overtime)","Part-Time",11.66,11.87,10.95
"Mean Wage",2021,"Ards and North Down","Weekly","All",440.6,386.9,512.1
"Mean Wage",2021,"Ards and North Down","Weekly","Full-Time",590.2,579.8,598.2
"Mean Wage",2021,"Ards and North Down","Weekly","Part-Time",216.6,223.1,194.7
"Mean Wage",2022,"Northern Ireland","Hourly (excluding overtime)","All",17.06,16.45,17.57
"Mean Wage",2022,"Northern Ireland","Hourly (excluding overtime)","Full-Time",17.66,17.37,17.85
"Mean Wage",2022,"Northern Ireland","Hourly (excluding overtime)","Part-Time",13.81,13.84,13.7
"Mean Wage",2022,"Northern Ireland","Weekly","All",571.4,490.8,653
"Mean Wage",2022,"Northern Ireland","Weekly","Full-Time",693.3,652.2,721.8
"Mean Wage",2022,"Northern Ireland","Weekly","Part-Time",254.9,261.9,234.1
"Mean Wage",2022,"Antrim and Newtownabbey","Hourly (excluding overtime)","All",17.08,16.66,17.55
"Mean Wage",2022,"Antrim and Newtownabbey","Hourly (excluding overtime)","Full-Time",17.57,17.52,17.62
"Mean Wage",2022,"Antrim and Newtownabbey","Hourly (excluding overtime)","Part-Time",14.32,13.83,NA
"Mean Wage",2022,"Antrim and Newtownabbey","Weekly","All",566.1,499.7,656.7
"Mean Wage",2022,"Antrim and Newtownabbey","Weekly","Full-Time",688.7,662.2,713.9
"Mean Wage",2022,"Antrim and Newtownabbey","Weekly","Part-Time",254.4,249.1,NA
"Mean Wage",2022,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","All",16.84,16.3,17.36
"Mean Wage",2022,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Full-Time",17.34,17.07,17.54
"Mean Wage",2022,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Part-Time",14.51,14.43,NA
"Mean Wage",2022,"Armagh City, Banbridge and Craigavon","Weekly","All",557.1,476.8,654.9
"Mean Wage",2022,"Armagh City, Banbridge and Craigavon","Weekly","Full-Time",681.9,631.6,721.5
"Mean Wage",2022,"Armagh City, Banbridge and Craigavon","Weekly","Part-Time",278.5,284.4,255.8
"Mean Wage",2022,"Belfast","Hourly (excluding overtime)","All",18.82,17.61,19.81
"Mean Wage",2022,"Belfast","Hourly (excluding overtime)","Full-Time",19.3,18.09,20.13
"Mean Wage",2022,"Belfast","Hourly (excluding overtime)","Part-Time",15.49,15.85,14.31
"Mean Wage",2022,"Belfast","Weekly","All",639.7,554.7,719.6
"Mean Wage",2022,"Belfast","Weekly","Full-Time",745.1,685.3,787
"Mean Wage",2022,"Belfast","Weekly","Part-Time",287.7,308.1,233.2
"Mean Wage",2022,"Causeway Coast and Glens","Hourly (excluding overtime)","All",14.79,14.79,14.79
"Mean Wage",2022,"Causeway Coast and Glens","Hourly (excluding overtime)","Full-Time",15.44,16.02,15.02
"Mean Wage",2022,"Causeway Coast and Glens","Hourly (excluding overtime)","Part-Time",11.97,12.14,11.13
"Mean Wage",2022,"Causeway Coast and Glens","Weekly","All",493.2,435.2,563.8
"Mean Wage",2022,"Causeway Coast and Glens","Weekly","Full-Time",606.5,585.4,622.9
"Mean Wage",2022,"Causeway Coast and Glens","Weekly","Part-Time",240.1,251.7,194.1
"Mean Wage",2022,"Derry City and Strabane","Hourly (excluding overtime)","All",16.02,16.08,15.98
"Mean Wage",2022,"Derry City and Strabane","Hourly (excluding overtime)","Full-Time",16.71,17.45,16.19
"Mean Wage",2022,"Derry City and Strabane","Hourly (excluding overtime)","Part-Time",12.77,12.4,13.8
"Mean Wage",2022,"Derry City and Strabane","Weekly","All",505,456.4,557.8
"Mean Wage",2022,"Derry City and Strabane","Weekly","Full-Time",636.4,637.8,635.2
"Mean Wage",2022,"Derry City and Strabane","Weekly","Part-Time",222.1,221,224.8
"Mean Wage",2022,"Fermanagh and Omagh","Hourly (excluding overtime)","All",16.53,16.61,16.46
"Mean Wage",2022,"Fermanagh and Omagh","Hourly (excluding overtime)","Full-Time",17.47,18.34,16.89
"Mean Wage",2022,"Fermanagh and Omagh","Hourly (excluding overtime)","Part-Time",12.76,13.1,11.43
"Mean Wage",2022,"Fermanagh and Omagh","Weekly","All",531.8,473.2,599.2
"Mean Wage",2022,"Fermanagh and Omagh","Weekly","Full-Time",681.7,673.2,687.9
"Mean Wage",2022,"Fermanagh and Omagh","Weekly","Part-Time",241.1,259,184.6
"Mean Wage",2022,"Lisburn and Castlereagh","Hourly (excluding overtime)","All",16.98,16.52,17.37
"Mean Wage",2022,"Lisburn and Castlereagh","Hourly (excluding overtime)","Full-Time",17.65,17.43,17.81
"Mean Wage",2022,"Lisburn and Castlereagh","Hourly (excluding overtime)","Part-Time",13.5,13.78,12.85
"Mean Wage",2022,"Lisburn and Castlereagh","Weekly","All",553.5,483,626.5
"Mean Wage",2022,"Lisburn and Castlereagh","Weekly","Full-Time",688.6,654.5,713.8
"Mean Wage",2022,"Lisburn and Castlereagh","Weekly","Part-Time",238.3,241.1,231.5
"Mean Wage",2022,"Mid and East Antrim","Hourly (excluding overtime)","All",15.2,15,15.39
"Mean Wage",2022,"Mid and East Antrim","Hourly (excluding overtime)","Full-Time",15.67,15.83,15.55
"Mean Wage",2022,"Mid and East Antrim","Hourly (excluding overtime)","Part-Time",13.23,13.05,13.8
"Mean Wage",2022,"Mid and East Antrim","Weekly","All",494.4,424.9,578.3
"Mean Wage",2022,"Mid and East Antrim","Weekly","Full-Time",622.6,594,644.9
"Mean Wage",2022,"Mid and East Antrim","Weekly","Part-Time",239.9,233.4,261.1
"Mean Wage",2022,"Mid Ulster","Hourly (excluding overtime)","All",14.96,14.57,15.15
"Mean Wage",2022,"Mid Ulster","Hourly (excluding overtime)","Full-Time",15.45,15.64,15.38
"Mean Wage",2022,"Mid Ulster","Hourly (excluding overtime)","Part-Time",11.51,11.68,11.11
"Mean Wage",2022,"Mid Ulster","Weekly","All",533.6,435.4,593.5
"Mean Wage",2022,"Mid Ulster","Weekly","Full-Time",636.3,595.5,652.7
"Mean Wage",2022,"Mid Ulster","Weekly","Part-Time",207.6,220.9,180
"Mean Wage",2022,"Newry, Mourne and Down","Hourly (excluding overtime)","All",16.61,15.87,17.23
"Mean Wage",2022,"Newry, Mourne and Down","Hourly (excluding overtime)","Full-Time",17.12,16.84,17.31
"Mean Wage",2022,"Newry, Mourne and Down","Hourly (excluding overtime)","Part-Time",14.23,13.48,NA
"Mean Wage",2022,"Newry, Mourne and Down","Weekly","All",545,458.4,635.3
"Mean Wage",2022,"Newry, Mourne and Down","Weekly","Full-Time",670.9,627.3,700.9
"Mean Wage",2022,"Newry, Mourne and Down","Weekly","Part-Time",263.2,249.7,NA
"Mean Wage",2022,"Ards and North Down","Hourly (excluding overtime)","All",14.42,14.72,14.14
"Mean Wage",2022,"Ards and North Down","Hourly (excluding overtime)","Full-Time",15.14,16.12,14.48
"Mean Wage",2022,"Ards and North Down","Hourly (excluding overtime)","Part-Time",12.17,12.4,11.38
"Mean Wage",2022,"Ards and North Down","Weekly","All",441,397.5,497.1
"Mean Wage",2022,"Ards and North Down","Weekly","Full-Time",587.3,610.1,570.8
"Mean Wage",2022,"Ards and North Down","Weekly","Part-Time",225.6,229,213.9
"Mean Wage",2023,"Northern Ireland","Hourly (excluding overtime)","All",18.12,17.22,18.9
"Mean Wage",2023,"Northern Ireland","Hourly (excluding overtime)","Full-Time",18.84,18.24,19.25
"Mean Wage",2023,"Northern Ireland","Hourly (excluding overtime)","Part-Time",14.49,14.36,14.86
"Mean Wage",2023,"Northern Ireland","Weekly","All",598.7,514.5,686
"Mean Wage",2023,"Northern Ireland","Weekly","Full-Time",738.3,688.6,774.5
"Mean Wage",2023,"Northern Ireland","Weekly","Part-Time",265.8,270.6,253.8
"Mean Wage",2023,"Antrim and Newtownabbey","Hourly (excluding overtime)","All",18.76,17.33,20.03
"Mean Wage",2023,"Antrim and Newtownabbey","Hourly (excluding overtime)","Full-Time",19.6,18.46,20.42
"Mean Wage",2023,"Antrim and Newtownabbey","Hourly (excluding overtime)","Part-Time",14.41,14.12,NA
"Mean Wage",2023,"Antrim and Newtownabbey","Weekly","All",635.6,513.5,776
"Mean Wage",2023,"Antrim and Newtownabbey","Weekly","Full-Time",784.9,707.7,843.5
"Mean Wage",2023,"Antrim and Newtownabbey","Weekly","Part-Time",272.7,254.9,NA
"Mean Wage",2023,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","All",18.1,17.54,18.62
"Mean Wage",2023,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Full-Time",18.62,18.68,18.58
"Mean Wage",2023,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Part-Time",15.9,15.15,NA
"Mean Wage",2023,"Armagh City, Banbridge and Craigavon","Weekly","All",580.9,505,667.7
"Mean Wage",2023,"Armagh City, Banbridge and Craigavon","Weekly","Full-Time",721.8,697.6,738.8
"Mean Wage",2023,"Armagh City, Banbridge and Craigavon","Weekly","Part-Time",296.2,297.7,NA
"Mean Wage",2023,"Belfast","Hourly (excluding overtime)","All",20.39,18.71,21.88
"Mean Wage",2023,"Belfast","Hourly (excluding overtime)","Full-Time",21.08,19.58,22.25
"Mean Wage",2023,"Belfast","Hourly (excluding overtime)","Part-Time",15.77,15.18,17.2
"Mean Wage",2023,"Belfast","Weekly","All",687.4,592.2,782.5
"Mean Wage",2023,"Belfast","Weekly","Full-Time",811.2,740.4,867
"Mean Wage",2023,"Belfast","Weekly","Part-Time",295,290.7,304.5
"Mean Wage",2023,"Causeway Coast and Glens","Hourly (excluding overtime)","All",15.36,15.52,15.2
"Mean Wage",2023,"Causeway Coast and Glens","Hourly (excluding overtime)","Full-Time",16.07,16.56,15.62
"Mean Wage",2023,"Causeway Coast and Glens","Hourly (excluding overtime)","Part-Time",12.37,12.59,11.81
"Mean Wage",2023,"Causeway Coast and Glens","Weekly","All",498.5,468.4,535.8
"Mean Wage",2023,"Causeway Coast and Glens","Weekly","Full-Time",614.6,603.4,625.3
"Mean Wage",2023,"Causeway Coast and Glens","Weekly","Part-Time",244.9,257,218.5
"Mean Wage",2023,"Derry City and Strabane","Hourly (excluding overtime)","All",16.93,16.11,17.63
"Mean Wage",2023,"Derry City and Strabane","Hourly (excluding overtime)","Full-Time",17.72,17.35,17.98
"Mean Wage",2023,"Derry City and Strabane","Hourly (excluding overtime)","Part-Time",13.62,13,14.94
"Mean Wage",2023,"Derry City and Strabane","Weekly","All",530.3,452.9,610
"Mean Wage",2023,"Derry City and Strabane","Weekly","Full-Time",684.5,636.6,719.6
"Mean Wage",2023,"Derry City and Strabane","Weekly","Part-Time",238,231.9,250.3
"Mean Wage",2023,"Fermanagh and Omagh","Hourly (excluding overtime)","All",17.26,17.34,17.18
"Mean Wage",2023,"Fermanagh and Omagh","Hourly (excluding overtime)","Full-Time",18.2,19,17.67
"Mean Wage",2023,"Fermanagh and Omagh","Hourly (excluding overtime)","Part-Time",13.74,14.19,12.11
